@relation CV
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
mc2022_track1_138.dimacs,1,1
mc2022_track1_075.dimacs,1,1
mc2022_track1_151.dimacs,1,1
mc2022_track1_052.dimacs,1,1
mc2022_track1_181.dimacs,1,1
mc2022_track1_041.dimacs,1,1
mc2022_track1_064.dimacs,1,1
mc2022_track1_089.dimacs,1,1
mc2022_track1_009.dimacs,1,1
mc2022_track1_134.dimacs,1,1
mc2022_track1_128.dimacs,1,1
mc2022_track1_195.dimacs,1,1
mc2022_track1_120.dimacs,1,1
mc2022_track1_137.dimacs,1,1
mc2022_track1_101.dimacs,1,1
mc2022_track1_118.dimacs,1,1
mc2022_track1_081.dimacs,1,2
mc2022_track1_020.dimacs,1,2
mc2022_track1_005.dimacs,1,2
mc2022_track1_140.dimacs,1,2
mc2022_track1_003.dimacs,1,2
mc2022_track1_149.dimacs,1,2
mc2022_track1_059.dimacs,1,2
mc2022_track1_183.dimacs,1,2
mc2022_track1_058.dimacs,1,2
mc2022_track1_142.dimacs,1,2
mc2022_track1_167.dimacs,1,2
mc2022_track1_141.dimacs,1,2
mc2022_track1_057.dimacs,1,2
mc2022_track1_091.dimacs,1,2
mc2022_track1_024.dimacs,1,2
mc2022_track1_162.dimacs,1,2
mc2022_track1_102.dimacs,1,3
mc2022_track1_190.dimacs,1,3
mc2022_track1_111.dimacs,1,3
mc2022_track1_129.dimacs,1,3
mc2022_track1_016.dimacs,1,3
mc2022_track1_053.dimacs,1,3
mc2022_track1_098.dimacs,1,3
mc2022_track1_163.dimacs,1,3
mc2022_track1_107.dimacs,1,3
mc2022_track1_108.dimacs,1,3
mc2022_track1_010.dimacs,1,3
mc2022_track1_043.dimacs,1,3
mc2022_track1_034.dimacs,1,3
mc2022_track1_110.dimacs,1,3
mc2022_track1_179.dimacs,1,3
mc2022_track1_025.dimacs,1,3
mc2022_track1_160.dimacs,1,4
mc2022_track1_070.dimacs,1,4
mc2022_track1_011.dimacs,1,4
mc2022_track1_191.dimacs,1,4
mc2022_track1_027.dimacs,1,4
mc2022_track1_063.dimacs,1,4
mc2022_track1_097.dimacs,1,4
mc2022_track1_096.dimacs,1,4
mc2022_track1_132.dimacs,1,4
mc2022_track1_180.dimacs,1,4
mc2022_track1_015.dimacs,1,4
mc2022_track1_198.dimacs,1,4
mc2022_track1_079.dimacs,1,4
mc2022_track1_177.dimacs,1,4
mc2022_track1_068.dimacs,1,4
mc2022_track1_054.dimacs,1,4
mc2022_track1_047.dimacs,1,5
mc2022_track1_061.dimacs,1,5
mc2022_track1_178.dimacs,1,5
mc2022_track1_143.dimacs,1,5
