@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mcc2022/MC2022_track1-mc_private/mc2022_track1_000.dimacs,1,0.007000,0.002000,0.000000,0.004000,0.087000,0.003000,0.051000,0.038000,0.010000,?,0.004000,0.005000,?,60.000000,0.021000,0.004000
mcc2022/MC2022_track1-mc_private/mc2022_track1_002.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.013000,0.008000,60.008000,0.064000,0.006000,?,0.005000,0.006000,?,60.000000,0.027000,0.007000
mcc2022/MC2022_track1-mc_private/mc2022_track1_004.dimacs,1,0.001000,0.020000,0.004000,0.027000,1.210000,1.022000,12.658000,13.422000,0.401000,0.295000,0.655000,5.233000,0.247000,5.876000,2.221000,60.000000
mcc2022/MC2022_track1-mc_private/mc2022_track1_006.dimacs,1,0.010000,0.303000,0.058000,0.595000,60.000000,60.000000,1.113000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000
mcc2022/MC2022_track1-mc_private/mc2022_track1_008.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.033000,60.000000,0.005000,?,0.004000,0.005000,?,60.000000,0.020000,0.004000
mcc2022/MC2022_track1-mc_private/mc2022_track1_010.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.027000,60.000000,0.005000,?,0.005000,0.005000,?,60.000000,0.022000,0.005000
mcc2022/MC2022_track1-mc_private/mc2022_track1_012.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,2.194000,60.000000,0.005000,?,0.005000,0.005000,?,60.000000,0.025000,0.005000
mcc2022/MC2022_track1-mc_private/mc2022_track1_014.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.029000,60.000000,0.006000,?,0.005000,0.008000,?,60.000000,0.024000,0.004000
mcc2022/MC2022_track1-mc_private/mc2022_track1_016.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.693000,60.000000,0.008000,?,0.005000,0.007000,?,60.000000,0.024000,0.007000
mcc2022/MC2022_track1-mc_private/mc2022_track1_018.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.229000,60.000000,0.029000,?,0.021000,0.022000,?,60.000000,0.038000,0.021000
mcc2022/MC2022_track1-mc_private/mc2022_track1_020.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,5.319000,60.000000,0.035000,?,0.034000,0.035000,?,60.000000,0.051000,0.033000
mcc2022/MC2022_track1-mc_private/mc2022_track1_022.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.041000,60.000000,0.058000,0.024000,0.019000,0.017000,0.013000,0.992000,2.010000,0.019000
mcc2022/MC2022_track1-mc_private/mc2022_track1_024.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.039000,60.000000,0.025000,0.009000,0.005000,0.006000,0.005000,0.433000,1.221000,0.007000
mcc2022/MC2022_track1-mc_private/mc2022_track1_026.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.560000,60.000000,0.020000,?,0.020000,0.020000,?,60.000000,0.042000,0.018000
mcc2022/MC2022_track1-mc_private/mc2022_track1_028.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.026000,60.000000,0.038000,0.008000,0.004000,0.005000,0.004000,0.411000,1.134000,0.008000
mcc2022/MC2022_track1-mc_private/mc2022_track1_030.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.414000,60.000000,0.020000,?,0.019000,0.020000,?,60.000000,0.036000,0.021000
mcc2022/MC2022_track1-mc_private/mc2022_track1_032.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.935000,60.000000,0.021000,?,0.027000,0.021000,?,60.000000,0.037000,0.020000
mcc2022/MC2022_track1-mc_private/mc2022_track1_034.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.158000,60.000000,0.031000,0.008000,0.007000,0.005000,0.006000,0.246000,0.844000,0.007000
mcc2022/MC2022_track1-mc_private/mc2022_track1_036.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.031000,60.000000,0.036000,0.018000,0.006000,0.008000,0.007000,0.496000,1.400000,0.009000
mcc2022/MC2022_track1-mc_private/mc2022_track1_038.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.030000,60.000000,0.038000,0.014000,0.008000,0.008000,0.007000,0.593000,1.840000,0.011000
mcc2022/MC2022_track1-mc_private/mc2022_track1_040.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.894000,60.000000,0.022000,?,0.023000,0.023000,?,60.000000,0.039000,0.023000
mcc2022/MC2022_track1-mc_private/mc2022_track1_042.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.299000,60.000000,0.021000,?,0.028000,0.025000,?,60.000000,0.037000,0.020000
mcc2022/MC2022_track1-mc_private/mc2022_track1_044.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.540000,60.000000,0.023000,?,0.019000,0.020000,?,60.000000,0.036000,0.019000
mcc2022/MC2022_track1-mc_private/mc2022_track1_046.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.621000,60.000000,0.019000,?,0.019000,0.020000,?,60.000000,0.036000,0.019000
mcc2022/MC2022_track1-mc_private/mc2022_track1_048.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,9.438000,60.000000,0.004000,0.004000,0.004000,0.005000,0.006000,0.598000,0.591000,0.007000
mcc2022/MC2022_track1-mc_private/mc2022_track1_050.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.013000,60.000000,0.055000,?,0.054000,0.057000,?,60.000000,0.069000,0.053000
mcc2022/MC2022_track1-mc_private/mc2022_track1_052.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.488000,60.000000,0.290000,0.249000,0.206000,0.193000,0.200000,5.378000,2.200000,0.290000
mcc2022/MC2022_track1-mc_private/mc2022_track1_054.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.016000,60.000000,0.050000,?,0.050000,0.050000,?,60.000000,0.067000,0.053000
mcc2022/MC2022_track1-mc_private/mc2022_track1_056.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.920000,60.000000,2.338000,0.429000,0.041000,0.029000,0.032000,5.167000,2.030000,0.293000
mcc2022/MC2022_track1-mc_private/mc2022_track1_058.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.014000,60.000000,0.107000,?,0.108000,0.108000,?,60.000000,0.123000,0.110000
mcc2022/MC2022_track1-mc_private/mc2022_track1_060.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.020000,60.000000,0.226000,?,0.220000,0.221000,?,60.000000,0.244000,0.228000
mcc2022/MC2022_track1-mc_private/mc2022_track1_062.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.020000,60.000000,0.169000,?,0.168000,0.170000,?,60.000000,0.185000,0.169000
mcc2022/MC2022_track1-mc_private/mc2022_track1_064.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.036000,60.000000,0.197000,0.192000,0.190000,0.194000,0.191000,1.201000,0.749000,0.212000
mcc2022/MC2022_track1-mc_private/mc2022_track1_066.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.018000,60.000000,0.217000,?,0.218000,0.219000,?,60.000000,0.244000,0.222000
mcc2022/MC2022_track1-mc_private/mc2022_track1_068.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.016000,60.000000,0.121000,?,0.106000,0.108000,?,60.000000,0.129000,0.109000
mcc2022/MC2022_track1-mc_private/mc2022_track1_070.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,11.570000,60.000000,20.096000,1.635000,0.145000,0.080000,0.084000,4.662000,2.061000,1.404000
mcc2022/MC2022_track1-mc_private/mc2022_track1_072.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.033000,60.000000,3.612000,3.223000,4.725000,1.518000,1.477000,6.189000,3.438000,56.070000
mcc2022/MC2022_track1-mc_private/mc2022_track1_074.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,13.443000,60.000000,0.006000,?,0.005000,0.006000,?,60.000000,0.022000,0.006000
mcc2022/MC2022_track1-mc_private/mc2022_track1_076.dimacs,1,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,29.815000,60.000000,20.583000,1.166000,0.893000,5.457000,1.064000,4.815000,2.423000,4.283000
