@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfLeafFeatures NUMERIC
@ATTRIBUTE NumberOfTopFeatures NUMERIC
@ATTRIBUTE Number_Constraints NUMERIC
@ATTRIBUTE AverageConstraintSize NUMERIC
@ATTRIBUTE CtcDensity NUMERIC
@ATTRIBUTE FeaturesInConstraintsDensity NUMERIC
@ATTRIBUTE TreeDepth NUMERIC
@ATTRIBUTE AverageNumberOfChildren NUMERIC
@ATTRIBUTE NumberOfClauses NUMERIC
@ATTRIBUTE NumberOfLiterals NUMERIC
@ATTRIBUTE ClauseDensity NUMERIC
@ATTRIBUTE ConnectivityDensity NUMERIC
@ATTRIBUTE Void NUMERIC
@ATTRIBUTE Number_CORE NUMERIC
@ATTRIBUTE Number_Dead NUMERIC
@ATTRIBUTE RatioOptionalFeatures NUMERIC
@ATTRIBUTE NumberOfValidConfigurationsLog NUMERIC
@ATTRIBUTE SimpleCyclomaticComplexity NUMERIC
@ATTRIBUTE IndependentCyclomaticComplexity NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE sp-featuretime NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE DIAMETER-featuretime NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE cl-featuretime NUMERIC
@ATTRIBUTE vars-reduced-depth-1 NUMERIC
@ATTRIBUTE vars-reduced-depth-4 NUMERIC
@ATTRIBUTE vars-reduced-depth-16 NUMERIC
@ATTRIBUTE vars-reduced-depth-64 NUMERIC
@ATTRIBUTE vars-reduced-depth-256 NUMERIC
@ATTRIBUTE unit-featuretime NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-saps-featuretime NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-gsat-featuretime NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE lobjois-featuretime NUMERIC
@ATTRIBUTE LP_OBJ NUMERIC
@ATTRIBUTE LPSLack-mean NUMERIC
@ATTRIBUTE LPSLack-coeff-variation NUMERIC
@ATTRIBUTE LPSLack-min NUMERIC
@ATTRIBUTE LPSLack-max NUMERIC
@ATTRIBUTE lpIntRatio NUMERIC
@ATTRIBUTE lpTIME NUMERIC

@DATA
mc2022_track1_000.dimacs,1,101,100,100,268,2.4925373134328357,2.6534653465346536,0.9900990099009901,2,100.0,369,869,0.42462600690448793,570,1,10,65,0.25742574257425743,4,470,406,101.000000000,369.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_002.dimacs,1,201,200,200,500,2.6,2.487562189054726,0.9850746268656716,2,200.0,701,1701,0.41211052322163433,1171,1,1,0,0.9950248756218906,?,971,833,201.000000000,701.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_004.dimacs,1,5429,5428,5428,17845,2.586438778369291,3.286977343893903,0.9998158040154724,2,5428.0,23274,57012,0.40822984634813725,19671,?,?,?,?,1,14243,12536,5429.000000000,23274.000000000,1657.000000000,7269.000000000,2.276403138,2.201815931,0.200000000,0.227954327,0.504912216,0.682856430,0.000000000,1.000000000,0.945702623,0.001699083,0.215520285,0.001207001,0.017501509,0.566446942,0.000000000,0.203191636,0.989131930,-0.000000000,0.001699083,0.571036565,0.000962994,0.008804512,1.589164794,0.078112271,0.085418370,0.000000000,0.823529412,1.533464697,0.000908364,0.755172253,0.000275141,0.005777961,2.029705051,0.549869308,0.001205340,1.431366007,0.000550282,0.011968634,-0.000000000,0.002598642,0.969360905,0.000825423,0.126427294,2.656965662,0.267322499,0.520615691,0.002292189,0.527272727,3.025685628,0.160000000,0.288600079,0.477653122,0.000441335,0.957009504,0.453832943,0.184255887,0.384257724,0.209609378,0.252056803,0.038609037,0.457953458,0.000000001,0.075465386,0.057974337,0.017622721,0.055945547,0.024603413,0.031401551,0.060000000,5.634661836,0.097515607,4.000000000,6.000000000,0.746093147,0.420000000,1505.687500000,0.434205912,687.000000000,2714.000000000,2490.000000000,725.000000000,2412.000000000,969.000000000,1343.000000000,95.902020059,0.279953528,58.834061135,144.183124539,138.161789067,62.649655172,123.232377049,78.405084746,86.265339967,5.000000000,0.000000000,0.024140012,0.024140012,0.192516596,0.192516596,0.020000000,81.049689441,0.473135464,309.240683230,0.056448794,309.000000000,294.000000000,326.000000000,0.640536039,0.528923496,0.803995064,0.207089430,2.540000000,86.832692308,0.159140097,310.163461538,0.060031447,311.000000000,294.000000000,327.000000000,0.225764683,0.535109235,0.803364020,0.037292578,2.960000000,0.303107862,0.992996107,2.000000000,?,?,?,?,?,?,?
mc2022_track1_006.dimacs,1,331237,331236,331236,653836,1.8881126153959096,1.9739219954292546,0.9999969810135945,2,331236.0,985073,1896989,0.519282399634368,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
mc2022_track1_008.dimacs,1,101,100,100,272,2.4705882352941178,2.6930693069306932,0.9702970297029703,2,100.0,373,873,0.427262313860252,563,1,27,30,0.43564356435643564,8,463,377,101.000000000,373.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_010.dimacs,1,201,200,200,538,2.486988847583643,2.6766169154228856,0.9850746268656716,2,200.0,739,1739,0.4249568717653824,1163,1,22,95,0.417910447761194,11,963,823,201.000000000,739.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_012.dimacs,1,121,120,120,305,2.5737704918032787,2.520661157024793,0.9834710743801653,2,120.0,426,1026,0.4152046783625731,690,1,3,14,0.859504132231405,15,570,451,121.000000000,426.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_014.dimacs,1,121,120,120,315,2.5238095238095237,2.603305785123967,0.9917355371900827,2,120.0,436,1036,0.42084942084942084,687,1,7,39,0.6198347107438017,10,567,502,121.000000000,436.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_016.dimacs,1,141,140,140,372,2.5053763440860215,2.6382978723404253,0.9858156028368794,2,140.0,513,1213,0.4229183841714757,809,1,18,25,0.6950354609929078,15,669,572,141.000000000,513.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mc2022_track1_018.dimacs,1,211,210,210,1275,2.0698039215686275,6.042654028436019,0.995260663507109,2,210.0,1486,3060,0.48562091503267973,2016,1,6,61,0.6824644549763034,13,1806,1507,211.000000000,1486.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
