@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mc2022_track1_001.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,60.006000,0.049000,0.005000,?,0.005000,0.005000,?,60.000000,0.021000,0.004000
mc2022_track1_003.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,60.007000,0.053000,0.005000,?,0.004000,0.005000,?,60.000000,0.021000,0.004000
mc2022_track1_005.dimacs,1,0.000000,0.007000,0.001000,0.006000,0.712000,60.000000,21.663000,60.000000,0.325000,0.201000,0.201000,5.179000,0.180000,5.516000,2.185000,60.000000
mc2022_track1_007.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.024000,0.055000,0.004000,?,0.004000,0.004000,?,60.000000,0.021000,0.004000
mc2022_track1_009.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.028000,0.002000,0.018000,0.007000,0.004000,0.005000,0.004000,0.368000,1.020000,0.006000
mc2022_track1_011.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.114000,0.018000,0.004000,?,0.004000,0.004000,?,60.000000,0.020000,0.003000
mc2022_track1_013.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.027000,0.003000,0.021000,0.007000,0.004000,0.006000,0.004000,0.435000,1.272000,0.007000
mc2022_track1_015.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.022000,0.054000,0.004000,0.004000,0.003000,0.005000,0.004000,0.072000,0.029000,0.004000
mc2022_track1_017.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.040000,0.010000,0.042000,0.015000,0.009000,0.008000,0.007000,0.879000,2.010000,0.016000
mc2022_track1_019.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.940000,0.042000,0.007000,?,0.006000,0.007000,?,60.000000,0.023000,0.006000
mc2022_track1_021.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,0.004000,0.108000,0.078000,0.008000,?,0.008000,0.009000,?,60.000000,0.025000,0.008000
mc2022_track1_023.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,2.536000,0.474000,0.062000,0.914000,0.018000,0.007000,0.034000,0.008000,1.635000,1.791000,0.089000
mc2022_track1_025.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.004000,0.011000,0.452000,0.211000,0.017000,?,0.017000,0.018000,?,60.000000,0.034000,0.017000
mc2022_track1_027.dimacs,1,0.000000,0.004000,0.000000,0.000000,0.004000,0.013000,5.117000,0.129000,0.019000,?,0.019000,0.020000,?,60.000000,0.035000,0.018000
mc2022_track1_029.dimacs,1,0.000000,0.007000,0.000000,0.001000,0.005000,0.014000,1.034000,0.244000,0.019000,?,0.019000,0.020000,?,60.000000,0.038000,0.018000
mc2022_track1_031.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,0.012000,0.665000,0.145000,0.018000,?,0.018000,0.019000,?,60.000000,0.035000,0.018000
mc2022_track1_033.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.029000,0.005000,0.029000,0.011000,0.006000,0.006000,0.006000,0.597000,1.754000,0.010000
mc2022_track1_035.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.034000,0.011000,0.042000,0.015000,0.009000,0.008000,0.007000,0.880000,2.021000,0.016000
mc2022_track1_037.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,0.008000,0.182000,0.171000,0.022000,?,0.022000,0.022000,?,60.000000,0.038000,0.021000
mc2022_track1_039.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.035000,0.009000,0.040000,0.014000,0.008000,0.007000,0.007000,0.794000,2.010000,0.015000
mc2022_track1_041.dimacs,1,0.000000,0.003000,0.000000,0.004000,0.090000,1.221000,1.591000,1.590000,0.047000,?,0.046000,0.047000,?,60.000000,0.063000,0.046000
mc2022_track1_043.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,2.007000,0.936000,0.099000,0.041000,0.037000,0.031000,1.380000,0.024000,5.515000,0.561000,0.098000
mc2022_track1_045.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.672000,0.037000,0.023000,0.020000,0.018000,0.019000,0.019000,0.579000,0.520000,0.021000
mc2022_track1_047.dimacs,1,0.000000,0.002000,0.000000,0.002000,0.156000,0.262000,0.763000,7.029000,20.082000,1.584000,0.133000,0.115000,0.073000,4.676000,2.058000,1.363000
mc2022_track1_049.dimacs,1,0.000000,0.003000,0.000000,0.004000,0.125000,0.377000,60.018000,2.825000,0.184000,0.196000,0.211000,0.175000,0.160000,6.337000,1.317000,3.292000
mc2022_track1_051.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.003000,0.011000,0.201000,0.281000,0.026000,?,0.025000,0.026000,?,60.000000,0.042000,0.025000
mc2022_track1_053.dimacs,1,0.000000,0.001000,0.000000,0.002000,0.022000,0.075000,60.007000,0.801000,0.051000,?,0.050000,0.052000,?,60.000000,0.073000,0.050000
mc2022_track1_055.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.005000,0.013000,0.287000,0.397000,0.033000,?,0.033000,0.035000,?,60.000000,0.050000,0.033000
mc2022_track1_057.dimacs,1,0.000000,0.007000,0.000000,0.006000,0.535000,0.386000,4.060000,30.847000,20.880000,6.002000,1.222000,0.843000,0.843000,4.902000,2.799000,60.000000
mc2022_track1_059.dimacs,1,0.000000,0.002000,0.000000,0.001000,0.100000,0.203000,2.987000,5.052000,14.082000,0.964000,0.086000,0.054000,0.050000,4.788000,2.043000,0.742000
mc2022_track1_061.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.001000,0.017000,60.007000,0.201000,0.034000,?,0.034000,0.034000,?,60.000000,0.052000,0.034000
mc2022_track1_063.dimacs,1,0.000000,0.006000,0.000000,0.002000,0.007000,0.057000,2.277000,5.743000,0.078000,0.062000,0.066000,0.054000,0.054000,5.480000,2.062000,60.000000
mc2022_track1_065.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.130000,0.184000,2.406000,6.660000,20.075000,1.272000,0.105000,0.063000,0.061000,4.699000,2.050000,1.151000
mc2022_track1_067.dimacs,1,0.000000,0.008000,0.000000,0.007000,0.255000,6.958000,60.013000,60.000000,2.591000,1.773000,3.677000,1.317000,1.278000,6.119000,3.255000,60.000000
mc2022_track1_069.dimacs,1,0.003000,0.019000,0.002000,0.013000,1.805000,60.000000,4.665000,60.000000,1.320000,1.329000,1.652000,1.211000,1.360000,6.700000,3.169000,60.000000
