@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfLeafFeatures NUMERIC
@ATTRIBUTE NumberOfTopFeatures NUMERIC
@ATTRIBUTE Number_Constraints NUMERIC
@ATTRIBUTE AverageConstraintSize NUMERIC
@ATTRIBUTE CtcDensity NUMERIC
@ATTRIBUTE FeaturesInConstraintsDensity NUMERIC
@ATTRIBUTE TreeDepth NUMERIC
@ATTRIBUTE AverageNumberOfChildren NUMERIC
@ATTRIBUTE NumberOfClauses NUMERIC
@ATTRIBUTE NumberOfLiterals NUMERIC
@ATTRIBUTE ClauseDensity NUMERIC
@ATTRIBUTE RatioOptionalFeatures NUMERIC
@ATTRIBUTE ConnectivityDensity NUMERIC
@ATTRIBUTE Void NUMERIC
@ATTRIBUTE Number_CORE NUMERIC
@ATTRIBUTE Number_Dead NUMERIC
@ATTRIBUTE NumberOfValidConfigurationsLog NUMERIC
@ATTRIBUTE SimpleCyclomaticComplexity NUMERIC
@ATTRIBUTE IndependentCyclomaticComplexity NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE sp-featuretime NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE DIAMETER-featuretime NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE cl-featuretime NUMERIC
@ATTRIBUTE vars-reduced-depth-1 NUMERIC
@ATTRIBUTE vars-reduced-depth-4 NUMERIC
@ATTRIBUTE vars-reduced-depth-16 NUMERIC
@ATTRIBUTE vars-reduced-depth-64 NUMERIC
@ATTRIBUTE vars-reduced-depth-256 NUMERIC
@ATTRIBUTE unit-featuretime NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-saps-featuretime NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-gsat-featuretime NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE lobjois-featuretime NUMERIC
@ATTRIBUTE LP_OBJ NUMERIC
@ATTRIBUTE LPSLack-mean NUMERIC
@ATTRIBUTE LPSLack-coeff-variation NUMERIC
@ATTRIBUTE LPSLack-min NUMERIC
@ATTRIBUTE LPSLack-max NUMERIC
@ATTRIBUTE lpIntRatio NUMERIC
@ATTRIBUTE lpTIME NUMERIC

@DATA
mcc2022/MC2022_track1-mc_public/mc2022_track1_001.dimacs,1,201,200,200,500,2.6,2.487562189054726,0.9751243781094527,2,200.0,701,1701,0.41211052322163433,0.9950248756218906,1155,1,1,1,?,955,792,201.000000000,701.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_003.dimacs,1,201,200,200,500,2.6,2.487562189054726,0.9800995024875622,2,200.0,701,1701,0.41211052322163433,0.9950248756218906,1160,1,1,1,?,960,832,201.000000000,701.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_005.dimacs,1,18225,18224,18224,31454,1.709734850893368,1.7258710562414266,0.9999451303155007,2,18224.0,49679,90227,0.5506001529475656,1.0,46653,0,0,0,1,28429,24165,18225.000000000,49679.000000000,314.000000000,2446.000000000,57.041401274,19.310302535,0.160000000,0.128372854,0.995028783,0.042107180,0.333333333,1.000000000,0.112584025,0.009025525,0.767910102,0.006369427,0.044585987,0.715133509,0.000000000,0.856091578,0.857726901,-0.000000000,0.009025525,0.285206191,0.003270646,0.020441537,3.125877863,0.264330543,0.125089953,0.000000000,0.666666667,3.573114499,0.003572712,0.468112209,0.001226492,0.010629599,2.617425824,0.143908422,0.021878955,0.336897546,0.006541292,0.050695012,-0.000000000,0.012049643,1.107978227,0.002044154,0.073589534,3.697294176,0.109550893,0.447994883,0.011421477,0.333333333,2.730748817,0.140000000,0.660396903,0.254149070,0.014294758,0.945428218,0.851182631,0.409882211,0.785954209,0.577971777,0.684794777,0.013434730,1.192141766,0.000039515,0.124977585,0.034432028,0.001870317,0.016931674,0.003907542,0.007927052,0.020000000,3.408945687,0.144220312,3.000000000,4.000000000,0.676472515,0.020000000,4478.000000000,0.008881369,4429.000000000,4545.000000000,4545.000000000,4429.000000000,4517.000000000,4439.000000000,4462.000000000,30.549121822,0.015903925,29.505305938,30.982214317,30.982214317,29.505305938,30.953135314,30.281867145,30.743185402,5.000000000,0.050955414,0.232484076,0.557324841,0.557324841,0.557324841,-0.000000000,11.792015454,0.299294437,102.014005151,0.079175892,102.000000000,92.000000000,112.000000000,3.045173193,0.187278529,0.964678193,0.012870827,2.420000000,13.438614194,0.228900453,101.718466196,0.076242218,102.000000000,92.000000000,112.000000000,2.534669254,0.292871062,0.967428631,0.011113008,2.920000000,0.543663734,0.847610568,2.000000000,?,?,?,?,?,?,?
mcc2022/MC2022_track1-mc_public/mc2022_track1_007.dimacs,1,201,200,200,539,2.484230055658627,2.681592039800995,0.9850746268656716,2,200.0,740,1740,0.42528735632183906,0.373134328358209,1174,1,21,21,10,974,862,201.000000000,740.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_009.dimacs,1,57,56,56,288,5.0,5.052631578947368,0.9824561403508771,2,56.0,345,1553,0.22215067611075337,0.9824561403508771,219,1,1,1,12,163,135,57.000000000,345.000000000,56.000000000,288.000000000,0.017857143,0.197916667,0.000000000,0.194444444,0.375000000,0.649786290,0.200000000,1.000000000,0.830523691,0.089285714,0.000000000,0.089285714,0.089285714,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.089285714,0.303884318,0.055555556,0.111111111,0.670008980,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.019221230,0.483956982,0.003472222,0.034722222,1.476641014,0.215277778,0.020213294,0.251683331,0.013888889,0.024305556,0.000000000,0.130787037,0.100121314,0.093750000,0.135416667,0.348832096,0.712386379,0.079719523,0.692307692,0.873015873,0.348832096,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.466764437,0.021126900,0.458609880,0.480309418,0.480305790,0.458611389,0.478481110,0.458614926,0.458776438,0.000000000,14.854545455,0.182641324,10.000000000,19.000000000,2.272097941,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.321428571,0.321428571,0.000000000,0.000000000,0.000000000,7.245600000,0.179209395,7.000000000,6.000000000,9.000000000,1.441990173,0.132030284,1.000000000,0.000000000,0.180000000,0.000000000,0.000000000,7.222800000,0.179223989,7.000000000,6.000000000,9.000000000,1.442387381,0.133144551,1.000000000,0.000000000,0.180000000,0.954970238,0.991991999,1.020000000,0.000000000,0.053571429,2.886751346,0.000000000,0.500000000,0.892857143,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_011.dimacs,1,121,120,120,321,2.4953271028037385,2.652892561983471,0.9752066115702479,2,120.0,442,1042,0.42418426103646834,0.6859504132231405,685,1,17,17,13,565,469,121.000000000,442.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_013.dimacs,1,69,68,68,352,5.0,5.101449275362318,0.9855072463768116,2,68.0,421,1897,0.22192936215076436,0.9855072463768116,267,1,1,1,14,199,177,69.000000000,421.000000000,68.000000000,352.000000000,0.014705882,0.196022727,0.000000000,0.193181818,0.375000000,0.649786290,0.200000000,1.000000000,0.830523691,0.073529412,0.000000000,0.073529412,0.073529412,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.073529412,0.300412939,0.045454545,0.090909091,0.665204265,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.014622326,0.628909000,0.002840909,0.028409091,1.603437347,0.198863636,0.016627674,0.249086105,0.011363636,0.019886364,0.000000000,0.107696281,0.091000796,0.076704545,0.110795455,0.304636097,0.708735709,0.073299467,0.692307692,0.873015873,0.304636097,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.466532652,0.020973096,0.458621947,0.480324092,0.478689606,0.458635098,0.478504231,0.458655200,0.458781587,0.000000000,17.895522388,0.181427529,12.000000000,23.000000000,2.459333633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.323529412,0.323529412,0.000000000,0.000000000,0.000000000,8.627700000,0.162503380,9.000000000,7.000000000,10.000000000,1.445993138,0.119194346,1.000000000,0.000000000,0.220000000,0.000000000,0.000000000,8.647900000,0.161629492,9.000000000,7.000000000,10.000000000,1.447500494,0.117615228,1.000000000,0.000000000,0.200000000,0.944720098,0.991440601,1.260000000,0.000000000,0.044117647,3.214550254,0.000000000,0.500000000,0.911764706,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_015.dimacs,1,201,200,200,564,2.4184397163120566,2.8059701492537314,0.9900497512437811,2,200.0,765,1765,0.43342776203966005,0.19402985074626866,1167,1,68,68,8,967,836,201.000000000,765.000000000,4.000000000,2.000000000,49.250000000,381.500000000,0.000000000,2.000000000,1.000000000,0.000000000,1.000000000,1.000000000,-0.000000000,0.500000000,0.000000000,0.500000000,0.500000000,-0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.500000000,0.000000000,0.500000000,0.500000000,-0.000000000,1.000000000,0.000000000,1.000000000,1.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.500000000,0.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,2.000000000,0.000000000,2.000000000,2.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,1.500700000,0.407642485,1.000000000,1.000000000,2.000000000,0.438600000,1.131419361,0.438600000,1.131419361,0.020000000,0.000000000,0.000000000,1.505100000,0.409359226,1.000000000,1.000000000,2.000000000,0.440300000,1.127522005,0.440300000,1.127522005,0.040000000,1.000000000,1.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_017.dimacs,1,131,130,130,688,5.0,5.251908396946565,0.9923664122137404,2,130.0,819,3701,0.22129154282626318,0.9923664122137404,518,1,1,1,27,388,328,131.000000000,819.000000000,130.000000000,688.000000000,0.007692308,0.190406977,0.000000000,0.188953488,0.375000000,0.649786290,0.200000000,1.000000000,0.830523691,0.038461538,0.000000000,0.038461538,0.038461538,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038461538,0.287658532,0.023255814,0.046511628,0.645033152,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.006652504,0.602855526,0.001453488,0.014534884,1.524737736,0.172965116,0.008676208,0.240479248,0.005813953,0.011627907,0.000000000,0.056415630,0.021702541,0.050872093,0.056686047,0.188112927,0.691262742,0.006844303,0.669841270,0.692307692,0.188112927,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.465569264,0.020328624,0.458609918,0.479453566,0.478483645,0.458611001,0.478479185,0.458612725,0.458619051,0.000000000,23.000000000,0.000000000,23.000000000,23.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.100000000,0.307692308,0.000000000,0.000000000,0.000000000,15.707500000,0.123899782,16.000000000,13.000000000,18.000000000,1.464388439,0.083994662,1.000000000,0.000000000,0.460000000,0.000000000,0.000000000,15.704100000,0.124689964,16.000000000,13.000000000,18.000000000,1.461724801,0.082878087,1.000000000,0.000000000,0.380000000,0.891792227,0.988990985,2.000000000,0.000000000,0.076923077,2.345207880,0.000000000,0.500000000,0.846153846,0.000000000
mcc2022/MC2022_track1-mc_public/mc2022_track1_019.dimacs,1,461,460,460,561,3.609625668449198,1.2169197396963123,0.6507592190889371,2,460.0,1022,2946,0.3469110658520027,0.9934924078091106,1301,1,3,3,109,841,747,461.000000000,1022.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000000000,?,0.000000000,0.000000000,0.000000000,0.000000000,?,0.000000000
